book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
0-XUAAAAMAAJ,dance,Scribner's Monthly,An Illustrated Magazine for the People,Unknown Author,No Description,"[{'type': 'OTHER', 'identifier': 'UOM:39015013530053'}]",False,True,1078,Uncategorized,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=0-XUAAAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=0-XUAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FREE,True,0.0,USD,0.0,USD,https://play.google.com/store/books/details?id=0-XUAAAAMAAJ&rdid=book-0-XUAAAAMAAJ&rdot=1&source=gbs_api,1900,Unknown Publisher
0OYOAAAAQAAJ,dance,Significant Etymology,"Or, Roots, Stems, and Branches of the English Language",James Mitchell,"Significant Etymology : Or, Roots, Stems, And Branches of the English Language by James Mitchell, first published in 1908, is a rare manuscript, the original residing in one of the great libraries of the world. This book is a reproduction of that original, which has been scanned and cleaned by state-of-the-art publishing tools for better readability and enhanced appreciation. Restoration Editors' mission is to bring long out of print manuscripts back to life. Some smudges, annotations or unclear text may still exist, due to permanent damage to the original work. We believe the literary significance of the text justifies offering this reproduction, allowing a new generation to appreciate it.","[{'type': 'OTHER', 'identifier': 'OXFORD:590686619'}]",False,True,502,History,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=0OYOAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=0OYOAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FREE,True,0.0,USD,0.0,USD,https://play.google.com/store/books/details?id=0OYOAAAAQAAJ&rdid=book-0OYOAAAAQAAJ&rdot=1&source=gbs_api,1908,Unknown Publisher
6gx1oAEACAAJ,dance,The Magic of Dance,No Subtitle,Margot Fonteyn,Dance magical - Dance universal - Dance experimental - Dance imperial - Dance aerial - Dance mythological - Dance traditionalal__,"[{'type': 'ISBN_10', 'identifier': '0563176458'}, {'type': 'ISBN_13', 'identifier': '9780563176459'}]",False,False,326,Ballet,en,Unknown,0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1980,B B C Books
fpgBxuScPEsC,dance,Audition,Everything an Actor Needs to Know to Get the Part,Michael Shurtleff,"The casting director for Chicago, Pippin, Becket, Gypsy, The Graduate, the Sound of Music and Jesus Christ Superstar tells you how you can find your dream role! Absolutely everything an actor needs to know to get the part is here: What to do that moment before, how to use humour; create mystery; how to develop a distinct style; and how to evaluate the place, the relationships and the competition. In fact, Audition is a necessary guide to dealing with all the ""auditions"" we face in life. This is the bible on the subject.","[{'type': 'ISBN_13', 'identifier': '9780802719027'}, {'type': 'ISBN_10', 'identifier': '0802719023'}]",True,False,208,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=fpgBxuScPEsC&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=fpgBxuScPEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2009,Bloomsbury Publishing USA
qUlJAQAAMAAJ,dance,How to Dance,And Guide to the Ball-room. Entirely New Ed,Edward Scott,No Description,"[{'type': 'OTHER', 'identifier': 'NYPL:33433012378075'}]",False,False,140,Uncategorized,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=qUlJAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=qUlJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1899,Unknown Publisher
sZ3kcQAACAAJ,dance,Dance gestures : (mirror of expressions) ; sanskrit text with english translation of Nandikeśvara's Abhinayadarpanam,No Subtitle,Musikwissenschaftler Nandikeśvara,Classical treatise on gesture in dance ; Sanskrit text with English translation.,"[{'type': 'ISBN_10', 'identifier': '8179504018'}, {'type': 'ISBN_13', 'identifier': '9788179504017'}]",False,False,192,Dance,en,Unknown,0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2007,Unknown Publisher
RqkCAAAAYAAJ,dance,The American Stud Book,No Subtitle,Unknown Author,"Containing full pedigree of all the imported thorough-bred stallions and mares, with their produce.","[{'type': 'OTHER', 'identifier': 'NYPL:33433082509187'}]",False,True,1364,Horses,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=RqkCAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=RqkCAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FREE,True,0.0,USD,0.0,USD,https://play.google.com/store/books/details?id=RqkCAAAAYAAJ&rdid=book-RqkCAAAAYAAJ&rdot=1&source=gbs_api,1898,Unknown Publisher
PLkDB8DjSl4C,dance,A New Variorum Edition of Shakespeare: Much adoe about nothing. 1899,No Subtitle,William Shakespeare,No Description,"[{'type': 'OTHER', 'identifier': 'UOM:39015056023339'}]",False,True,470,Uncategorized,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=PLkDB8DjSl4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=PLkDB8DjSl4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FREE,True,0.0,USD,0.0,USD,https://play.google.com/store/books/details?id=PLkDB8DjSl4C&rdid=book-PLkDB8DjSl4C&rdot=1&source=gbs_api,1899,Unknown Publisher
C2Ajtf32WB0C,dance,Kammen international dance folio no. 1,big collection of carefully selected international songs and dances,Unknown Author,No Description,"[{'type': 'OTHER', 'identifier': 'NYPL:33433046111757'}]",False,False,72,Clarinet music (Clarinets (2)),en,"{'smallThumbnail': 'http://books.google.com/books/content?id=C2Ajtf32WB0C&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=C2Ajtf32WB0C&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1937,Unknown Publisher
BEvARf2hnjIC,dance,Just Send Me Word,A True Story of Love and Survival in the Gulag,Orlando Figes,"From Orlando Figes, international bestselling author of A People's Tragedy, Just Send Me Word is the moving true story of two young Russians whose love survived Stalin's Gulag. Lev and Svetlana, kept apart for fourteen years by the Second World War and the Gulag, stayed true to each other and exchanged thousands of secret letters as Lev battled to survive in Stalin's camps. Using this remarkable cache of smuggled correspondence, Orlando Figes tells the tale of two incredible people who, swept along in the very worst of times, kept their devotion alive. Orlando Figes was granted exclusive access to the thousands of letters between Lev and Sveta that form the foundation of Just Send Me Word, and he was able to interview the couple in person, then in their nineties. These real-time and largely uncensored letters form the largest cache of Gulag letters ever found. Reviews: 'One is overcome with admiration for the kindness, bravery and generosity of people in terrible peril ... It is impossible to read without shedding tears' Simon Sebag Montefiore, Financial Times 'This powerful narrative by a distinguished historian will take its place not just in history but in literature' Robert Massie 'Electrifying, passionate, devoted, despairing, exhilarating ... a tale of hope, resilience, grit and love' The Times 'Moving ... a remarkable discovery' Max Hastings, Sunday Times 'The gulag story lacks individuals for us to sympathise with: a Primo Levi, an Anne Frank or even an Oskar Schindler. Just Send Me Word may well be the book to change that' Oliver Bullough, Independent 'Immensely touching ... [a] heartening gem of a book' Anna Reid, Literary Review 'The remarkable true story of a love affair between two Soviet citizens ... as much a literary challenge as a historical one: the book can be read as a non-fiction novel' Telegraph 'Remarkable ... Figes, selecting and then interpreting this mass of letters, makes them tell two kinds of story. The first is a uniquely detailed narrative of the gulag, of the callous, slatternly universe which consumed millions of lives ... The second is about two people determined not to lose each other' Neal Ascherson, Guardian 'A quiet, moving and memorable account of life in a totalitarian state ... The book often reads like a novel ... captivating' Evening Standard 'Orlando Figes has wrought something beautiful from dark times' Ian Thomson, Observer 'A heart-rending record of extraordinary human endurance' Kirkus Reviews '[A] remarkable tale of love and devotion during the worst years of the USSR ... [Figes's] fine narrative pacing enhances this moving, memorable story' Publishers Weekly About the author: Orlando Figes is Professor of History at Birkbeck College, University of London. He is the author of Peasant Russia, Civil War, A People's Tragedy, Natasha's Dance, The Whisperers and Crimea. He lives in Cambridge and London. His books have been translated into over twenty languages.","[{'type': 'ISBN_13', 'identifier': '9780141971407'}, {'type': 'ISBN_10', 'identifier': '0141971401'}]",True,False,424,History,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=BEvARf2hnjIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=BEvARf2hnjIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,441.61,INR,309.13,INR,https://play.google.com/store/books/details?id=BEvARf2hnjIC&rdid=book-BEvARf2hnjIC&rdot=1&source=gbs_api,2012,Penguin UK
cep8EAAAQBAJ,dance,Theory and Practice in Eighteenth-Century Dance,The German-French Connection,Tilden Russell,"This book is about the intersection of two evolving dance-historical realms—theory and practice—during the first two decades of the eighteenth century. France was the source of works on notation, choreography, and repertoire that dominated European dance practice until the 1780s. While these French inventions were welcomed and used in Germany, German dance writers responded by producing an important body of work on dance theory. This book examines consequences in Germany of this asymmetrical confrontation of dance perspectives. Between 1703 and 1717 in Germany, a coherent theory of dance was postulated that called itself dance theory, comprehended why it was a theory, and clearly, rationally distinguished itself from practice. This flowering of dance-theoretical writing was contemporaneous with the appearance of Beauchamps-Feuillet notation in the Chorégraphie of Raoul Auger Feuillet (Paris, 1700, 1701). Beauchamps-Feuillet notation was the ideal written representation of the dance style known as la belle danse and practiced in both the ballroom and the theater. Its publication enabled the spread of belle danse to the French provinces and internationally. This spread encouraged the publication of new practical works (manuals, choreographies, recueils) on how to make steps and how to dance current dances, as well as of new dance treatises, in different languages. The Rechtschaffener Tantzmeister, by Gottfried Taubert (Leipzig, 1717), includes a translated edition of Feuillet’s Chorégraphie. Theory and Practice in Eighteenth-Century Dance addresses how Taubert and his contemporary German authors of dance treatises (Samuel Rudolph Behr, Johann Pasch, Louis Bonin) became familiar with Beauchamps-Feuillet notation and acknowledged the Chorégraphie in their own work, and how Taubert’s translation of the Chorégraphie spread its influence northward and eastward in Europe. This book also examines the personal and literary interrelationships between the German writers on dance between 1703 and 1717 and their invention of a theoria of dance as a counterbalance to dance praxis, comparing their dance-theoretical ideas with those of John Weaver in England, and assimilating them all in a cohesive and inclusive description of dance theory in Europe by 1721. Published by University of Delaware Press. Distributed worldwide by Rutgers University Press.","[{'type': 'ISBN_13', 'identifier': '9781644530238'}, {'type': 'ISBN_10', 'identifier': '1644530236'}]",True,True,168,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=cep8EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=cep8EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2017,Rutgers University Press
AXC1AAAAIAAJ,dance,The Student Dancer,Emotional Aspects of the Teaching and Learning of Dance,Julia Buckroyd,"Acknowledging the evidence that there is a high incidence of illness, smoking, injury and eating disorders amongst dance students, Julia Buckroyd argues that current dance training can be harmful and that a radically new approach is required.","[{'type': 'OTHER', 'identifier': 'UCSC:32106017914745'}]",False,False,262,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=AXC1AAAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=AXC1AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2000,Dance Books Limited
E1Gwwt1sZ3EC,dance,Contact Improvisation,An Introduction to a Vitalizing Dance Form,Cheryl Pallant,"In most forms of dancing, performers carry out their steps with a distance that keeps them from colliding with each other. Dancer Steve Paxton in the 1970s considered this distance a territory for investigation. His study of intentional contact resulted in a public performance in 1972 in a Soho gallery, and the name ""contact improvisation"" was coined for the form of unrehearsed dance he introduced. Rather than copyrighting it, Paxton allowed it to evolve and spread. In this book the author draws upon her own experience and research to explain the art of contact improvisation, in which dance partners propel movement by physical contact. They roll, fall, spiral, leap, and slip along the contours and momentum of moving bodies. The text begins with a history, then describes the elements that define this form of dance. Subsequent chapters explore how contact improvisation relates to self and identity; how class, race, gender, culture and physiology influence dance; how dance promotes connection in a culture of isolation; and how it relates to the concept of community. The final chapter is a collection of exercises explained in the words of teachers from across the United States and abroad. Appendix A describes how to set up and maintain a weekly jam; Appendix B details recommended reading, videos and Web sites. Instructors considering this book for use in a course may request an examination copy here.","[{'type': 'ISBN_13', 'identifier': '9780786426478'}, {'type': 'ISBN_10', 'identifier': '0786426470'}]",True,True,209,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=E1Gwwt1sZ3EC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=E1Gwwt1sZ3EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2006,McFarland
lc7BAQAACAAJ,dance,Tilt Pause Shift,Dance Ecologies in India,Anita E. Cherian,"This book is an investigation of movement, particularly dance. What kind of movement is dance? What is dance in India? And, what is it to dance in India? It recognizes the diversity and complexity of practice in India, but also of the contingent (institutional) circumstances through which performances emerge and become visible. This volume assembles writing that combines description with analytics of movement practices in India in our time. Essayists include performers, theorists, historians and cultural critics. The essays are discursive interventions on a wide variety of topics that concern the many fields of dance practice. The themes range from questions of periodization to the temporal, the archive, the proximate body and its potentialities, spaces and audiences, and policy interventions on behalf of performance.","[{'type': 'ISBN_10', 'identifier': '9382381856'}, {'type': 'ISBN_13', 'identifier': '9789382381853'}]",False,False,242,Dance,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=lc7BAQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=lc7BAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2016,Unknown Publisher
3FI5AAAAIAAJ,dance,The American History and Encyclopedia of Music ...,No Subtitle,William Lines Hubbard,No Description,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105004236621'}]",False,True,360,Music,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=3FI5AAAAIAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=3FI5AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FREE,True,0.0,USD,0.0,USD,https://play.google.com/store/books/details?id=3FI5AAAAIAAJ&rdid=book-3FI5AAAAIAAJ&rdot=1&source=gbs_api,1908,Unknown Publisher
IcckKQEACAAJ,dance,Looking at Contemporary Dance,A Guide for the Internet Age,"Marc Strauss, Myron Howard Nadel","""Organized chronologically by the decades in which innovators were born or dance organizations were founded, [this history] covers more than 110 choreographers, companies, institutions, and dancers from both modern dance and ballet, and from around the world. Readers can view clips of dances from over 220 Internet search addresses that illustrate the text. Videographies are provided at the end of each chapter for viewing complete dances and documentaries.""--P. [4] of cover.","[{'type': 'ISBN_10', 'identifier': '0871273543'}, {'type': 'ISBN_13', 'identifier': '9780871273543'}]",False,False,0,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=IcckKQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=IcckKQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2012,Unknown Publisher
wg7aAAAAMAAJ,dance,Ghost Dance Songs and Religion of a Wind River Shoshone Woman,No Subtitle,"Judith Vander, University of California, Los Angeles. Program in Ethnomusicology",No Description,"[{'type': 'OTHER', 'identifier': 'IND:39000006080514'}]",False,False,90,"Folk-songs, Shoshoni",en,"{'smallThumbnail': 'http://books.google.com/books/content?id=wg7aAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=wg7aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1986,"Los Angeles : Program in Ethnomusicology, Department of Music, University of California, Los Angeles"
