book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
Lp6ZWXUI6YIC,dance,Dance Dance Dance,No Subtitle,Haruki Murakami,"*PRE-ORDER HARUKI MURAKAMI’S NEW NOVEL, THE CITY AND ITS UNCERTAIN WALLS, NOW* An assault on the senses, part murder mystery, part metaphysical speculation; a fable for our times as catchy as a rock song blasting from the window of a sports car. High-class call girls billed to Mastercard. A psychic 13-year-old dropout with a passion for Talking Heads. A hunky matinee idol doomed to play dentists and teachers. A one-armed beach-combing poet, an uptight hotel clerk and one very bemused narrator caught in the web of advanced capitalist mayhem. Combine this offbeat cast of characters with Murakami's idiosyncratic prose and out comes Dance Dance Dance. 'If Raymond Chandler had lived long enough to see Blade Runner, he might have written something like Dance Dance Dance' Observer","[{'type': 'ISBN_13', 'identifier': '9781448103676'}, {'type': 'ISBN_10', 'identifier': '1448103673'}]",True,False,402,Fiction,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=Lp6ZWXUI6YIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=Lp6ZWXUI6YIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,530.11,INR,265.06,INR,https://play.google.com/store/books/details?id=Lp6ZWXUI6YIC&rdid=book-Lp6ZWXUI6YIC&rdot=1&source=gbs_api,2011,Random House
_xytUIuaxloC,dance,What is Dance?,Readings in Theory and Criticism,"Roger Copeland, Marshall Cohen","A wide variety of writing is included in this anthology, from the practical criticism of Arlene Croce and David Denby to the more scholarly work of Rudoloph Arnheim, Suzanne Langer, and Havelock Ellis. The collection is divided into seven sections: What is Dance?; the Dance Medium; Dance andthe Other Arts; Genre and Style; Language, Notation, and Identity; Dance Criticism; and Dance and Society.","[{'type': 'ISBN_13', 'identifier': '9780195031973'}, {'type': 'ISBN_10', 'identifier': '0195031970'}]",True,True,606,Music,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=_xytUIuaxloC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=_xytUIuaxloC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",1,2.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1983,Oxford [Oxfordshire] ; New York : Oxford University Press
LPRfvgAACAAJ,dance,Dance Is for Everyone,No Subtitle,Unknown Author,"When an alligator shows up to class one day, Mrs. Iraina and her ballet students are very suprised. But she is able to follow along, so they decide it's okay for her to join. The class starts calling her Tanya and even creates a new dance to showcase her larger-than-life talents and big, swishy tail: ""The Legend of the Swamp Queen."" Tanya has the starring role.","[{'type': 'ISBN_10', 'identifier': '1454921145'}, {'type': 'ISBN_13', 'identifier': '9781454921141'}]",False,False,32,Alligators,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=LPRfvgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=LPRfvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2017,Unknown Publisher
XmEVDAAAQBAJ,dance,Does the Elephant Dance?,Contemporary Indian Foreign Policy,David Malone,Surveys the main features of contemporary Indian foreign policy.,"[{'type': 'ISBN_13', 'identifier': '9780199552023'}, {'type': 'ISBN_10', 'identifier': '0199552029'}]",False,True,448,History,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=XmEVDAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=XmEVDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2011,Oxford University Press
mTHwrQEACAAJ,dance,Indian Classical Dance,The Renaissance and Beyond,Leela Venkataraman,"Covering eight classical dance forms of India Bharatanatyam, Kathak, Kuchipudi, Kathakali, Manipuri, Mohiniattam, Odissi and Sattriya Leela Venkataraman seamlessly weaves together a historical perspective with the contemporary scenario. Stripped of their association with the temple and the court, classical dance traditions in India went through a series of unprecedented change in the period marking the last few years of British rule and thereafter. From becoming part of the nationalist struggle when India was trying to rediscover its lost identity, to sharing the international stage today with dance forms from all over the world, the last sixty-six years have seen many changes in perspective and presentation of Indian Classical Dance some intentional, others involuntary. While looking at these years closely and their impact on dance forms, one realises that this is a phase in an ongoing process, with each new generation of dancers and musicians adding to an already rich tapestry of tradition.""","[{'type': 'ISBN_10', 'identifier': '9383098643'}, {'type': 'ISBN_13', 'identifier': '9789383098644'}]",False,False,0,Dance,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=mTHwrQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=mTHwrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2015,Unknown Publisher
Kf3FzQEACAAJ,dance,Dazzling Dancing Diva,No Subtitle,Elaine Bailey,"Come Saute' on Rainbows bright and beautiful as the sky, or Maybe Plie' in a field of bubbles and sunflowers, and let's not forget to dance in the raining sprinkles falling from the sky, This is just a normal day for Jade in her dance class with Madam KIki . Come learn some Dazzling Dance Moves with Jade and her best friend Galaxy, as they have a full journey and haven't even left the dance room . If your child has a fun and animated personality, come experience a dance class in a whole new way! Jade's a nine year old little girl that has dreams of becoming a famous ballerina she lives with her mom, dad, and annoying little brother Miles. This book doesn't only teach your child ballet terms and positions, but its positive ,eye catching ,and exudes hope and teachers our young children to be proud of the skin that they are in . So lets go Dazzling Dancing Diva's ! Remember: Don't let someone ever Dim your light simply because its shining in their eyes.","[{'type': 'ISBN_13', 'identifier': '9798655430495'}]",False,False,33,Uncategorized,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=Kf3FzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=Kf3FzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2020,Unknown Publisher
27onCgAAQBAJ,dance,Street Dance,The Best Moves,DJ Hooch,"STREET DANCE: THE BEST MOVES is the perfect introduction to major street dance styles with easy-to-follow step-by-step photography. As well as learning the various types of street dance, including B-boy, Popping, Locking, Hip Hop and House - and the basic moves of each of these - you'll get tips on the best tracks to dance to, what clothes to wear to look the part, and be given expert advice from top dancers across the globe. . Throughout the book there are also embedded videos, showing the step-by-steps put into practice so you can check you're doing it right!","[{'type': 'ISBN_13', 'identifier': '9781844038718'}, {'type': 'ISBN_10', 'identifier': '1844038718'}]",True,True,144,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=27onCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=27onCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,796.5,INR,398.25,INR,https://play.google.com/store/books/details?id=27onCgAAQBAJ&rdid=book-27onCgAAQBAJ&rdot=1&source=gbs_api,2015,Hachette UK
4gp6O3eufGYC,dance,Color Dance,No Subtitle,Ann Jonas,"The girl in red, the girl in yellow, the girl in blue, and the boy in black and white are all set to stir up the rainbow. Watch them create a living kaleidoscope, step by step by step.","[{'type': 'ISBN_13', 'identifier': '9780688059903'}, {'type': 'ISBN_10', 'identifier': '0688059902'}]",False,False,42,Juvenile Fiction,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=4gp6O3eufGYC&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=4gp6O3eufGYC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1989,Harper Collins
yerTAAAAQBAJ,dance,Moving History/Dancing Cultures,A Dance History Reader,"Ann Dils, Ann Cooper Albright",A comprehensive and multifaceted anthology of dance history -- ideal for the classroom.,"[{'type': 'ISBN_13', 'identifier': '9780819564139'}, {'type': 'ISBN_10', 'identifier': '0819564133'}]",False,False,513,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=yerTAAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=yerTAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2001,Wesleyan University Press
JS_pCAAAQBAJ,dance,Movement and Mimesis,The Idea of Dance in the Sanskritic Tradition,Mandakranta Bose,"The most comprehensive view of the evolution of dancing in India is one that is derived from Sanskrit textual sources. These texts are the basic material that students of the dance in India must examine in order to uncover its past. Since the rebirth of informed interest in dancing in early twentieth century, its antiquity has been acknowledged but precisely what the art was in antiquity remains unclear. Discovering the oldest forms of dancing in India requires, as do other historical quests, a reconstruction of the past and, again as in other historical investigations, the primary sources of knowledge are records from the past. In this case the records are treatises and manuals in Sanskrit that discuss and describe dancing. These are the sources that the present work sets out to mine. These texts taken collectively are more than records of a particular state of the art. They testify to the growth of the theory and practice of the art and thus establish it as an evolving rather than a fixed art form that changed as much in response to its own expanding aesthetic boundaries as to parallel or complementary forms of dance, drama and music that impinged upon it as India's social and political situation changed. When we place the Sanskrit treatises in chronological sequence it becomes clear that the understanding of the art has changed through time, in its infancy as well as in maturer periods.","[{'type': 'ISBN_13', 'identifier': '9789401135948'}, {'type': 'ISBN_10', 'identifier': '9401135940'}]",False,True,343,Philosophy,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=JS_pCAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=JS_pCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,4200.8,INR,4200.8,INR,https://play.google.com/store/books/details?id=JS_pCAAAQBAJ&rdid=book-JS_pCAAAQBAJ&rdot=1&source=gbs_api,2012,Springer Science & Business Media
zLOiaGDLYOAC,dance,The Sterling Book of INDIAN CLASSICAL DANCE,No Subtitle,Shovana Narayan,"India’s rich cultural legacy has been founded on the abiding faith of the Indians in the divine power, whose worship had found expression through dance. ‘Bhakti’ or devotion was the underlying essence of the various dance forms that developed in India. Indian Classical Dances is a unique presentation of the eight classical dance styles – Bharatanatyam, Kathak, Kathakali, Kuchipudi, Manipuri, Mohiniyattam, Odissi and Sattriya, through a concise portrayal of the background of each dance form, the salient features, format of presentation, music and costume. The simplistic approach of the narration coupled with the unique collection of photographs, will enable the lay reader to visualise, comprehend and appreciate the diverse dance forms of India.","[{'type': 'ISBN_13', 'identifier': '9788120790780'}, {'type': 'ISBN_10', 'identifier': '8120790782'}]",True,True,96,Music,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=zLOiaGDLYOAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=zLOiaGDLYOAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,116.82,INR,116.82,INR,https://play.google.com/store/books/details?id=zLOiaGDLYOAC&rdid=book-zLOiaGDLYOAC&rdot=1&source=gbs_api,2011,Sterling Publishers Pvt. Ltd
xdiBAAAAMAAJ,dance,A Passion for Dance,My Autobiography,"Yamini Krishnamurti, Renuka N. Khandekar",Autobiography of a Kuchipudi and Bharatanatyam dancer.,"[{'type': 'OTHER', 'identifier': 'UOM:39015040656327'}]",False,False,262,Art,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=xdiBAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=xdiBAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1995,Unknown Publisher
PZdnDTxLscIC,dance,A Sense of Dance,Exploring Your Movement Potential,Constance A. Schrader,"This fresh, inspirational approach shows how to frame the art of dance within the context of life and how to gain the tools to appreciate, discuss and write about dance as a fine art. It also helps develop creative thinking and self-expression.","[{'type': 'ISBN_10', 'identifier': '0736051899'}, {'type': 'ISBN_13', 'identifier': '9780736051897'}]",False,True,220,Medical,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=PZdnDTxLscIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=PZdnDTxLscIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",1,4.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2005,Human Kinetics
K4FN1lOcR-wC,dance,Dance and the Lived Body,No Subtitle,Sondra Horton Fraleigh,"In her remarkable book, Sondra Horton Fraleigh examines and describes dance through her consciousness of dance as an art, through the experience of dancing, and through the existential and phenomenological literature on the lived body. She describes, with performance photographs, specific imagery in dance masterworks by Doris Humphrey, Anna Sokolow, Viola Farber, Nina Weiner, and Garth Fagan.","[{'type': 'ISBN_10', 'identifier': '0822971704'}, {'type': 'ISBN_13', 'identifier': '9780822971702'}]",True,True,330,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=K4FN1lOcR-wC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=K4FN1lOcR-wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1996,University of Pittsburgh Pre
KnoyBgAAQBAJ,dance,Why We Dance,A Philosophy of Bodily Becoming,Kimerer L. LaMothe,"Within intellectual paradigms that privilege mind over matter, dance has long appeared as a marginal, derivative, or primitive art. Drawing support from theorists and artists who embrace matter as dynamic and agential, this book offers a visionary definition of dance that illuminates its constitutive work in the ongoing evolution of human persons. Why We Dance introduces a philosophy of bodily becoming that posits bodily movement as the source and telos of human life. Within this philosophy, dance appears as an activity that humans evolved to do as the enabling condition of their best bodily becoming. Weaving theoretical reflection with accounts of lived experience, this book positions dance as a catalyst in the development of human consciousness, compassion, ritual proclivity, and ecological adaptability. Aligning with trends in new materialism, affect theory, and feminist philosophy, as well as advances in dance and religious studies, this work reveals the vital role dance can play in reversing the trajectory of ecological self-destruction along which human civilization is racing.","[{'type': 'ISBN_13', 'identifier': '9780231538886'}, {'type': 'ISBN_10', 'identifier': '023153888X'}]",True,False,305,Philosophy,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=KnoyBgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=KnoyBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,2341.0,INR,2341.0,INR,https://play.google.com/store/books/details?id=KnoyBgAAQBAJ&rdid=book-KnoyBgAAQBAJ&rdot=1&source=gbs_api,2015,Columbia University Press
gPQcAgAAQBAJ,dance,Dance Circles,"Movement, Morality and Self-fashioning in Urban Senegal",Hélène Neveu Kringelbach,"Senegal has played a central role in contemporary dance due to its rich performing traditions, as well as strong state patronage of the arts, first under French colonialism and later in the postcolonial era. In the 1980s, when the Senegalese economy was in decline and state fundingwithdrawn, European agencies used the performing arts as a tool in diplomacy. This had a profound impact on choreographic production and arts markets throughout Africa. In Senegal, choreographic performers have taken to contemporary dance, while continuing to engage with neo-traditional performance, regional genres like the sabar, and the popular dances they grew up with. A historically informed ethnography of creativity, agency, and the fashioning of selves through the different life stages in urban Senegal, this book explores the significance of this multiple engagement with dance in a context of economic uncertainty and rising concerns over morality in the public space.","[{'type': 'ISBN_13', 'identifier': '9781782381488'}, {'type': 'ISBN_10', 'identifier': '1782381481'}]",True,True,252,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=gPQcAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=gPQcAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,3534.68,INR,3534.68,INR,https://play.google.com/store/books/details?id=gPQcAgAAQBAJ&rdid=book-gPQcAgAAQBAJ&rdot=1&source=gbs_api,2013,Berghahn Books
iQy2DwAAQBAJ,dance,I Will Dance,No Subtitle,Nancy Bo Flood,"This poetic and uplifting picture book illustrated by the #1 New York Times bestselling illustrator of We Are the Gardeners by Joanna Gaines follows a young girl born with cerebral palsy as she pursues her dream of becoming a dancer. Like many young girls, Eva longs to dance. But unlike many would-be dancers, Eva has cerebral palsy. She doesn’t know what dance looks like for someone who uses a wheelchair. Then Eva learns of a place that has created a class for dancers of all abilities. Her first movements in the studio are tentative, but with the encouragement of her instructor and fellow students, Eva becomes more confident. Eva knows she’s found a place where she belongs. At last her dream of dancing has come true.","[{'type': 'ISBN_13', 'identifier': '9781534430624'}, {'type': 'ISBN_10', 'identifier': '1534430628'}]",True,True,48,Juvenile Fiction,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=iQy2DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=iQy2DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,739.86,INR,369.93,INR,https://play.google.com/store/books/details?id=iQy2DwAAQBAJ&rdid=book-iQy2DwAAQBAJ&rdot=1&source=gbs_api,2020,Simon and Schuster
R4mdAAAACAAJ,dance,First Harp Book,No Subtitle,B. Paret,Harp,"[{'type': 'ISBN_10', 'identifier': '079355523X'}, {'type': 'ISBN_13', 'identifier': '9780793555239'}]",False,False,40,Music,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=R4mdAAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=R4mdAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1987,Hal Leonard Publishing Corporation
OBgCCwAAQBAJ,dance,Giraffes Can't Dance,No Subtitle,Giles Andreae,"Number One bestseller Giraffes Can't Dance from author Giles Andreae has been delighting children for over 20 years. Gerald the tall giraffe would love to join in with the other animals at the Jungle Dance, but everyone knows that giraffes can't dance . . . or can they? A funny, touching and triumphant picture book story about a giraffe who finds his own tune and confidence too, with joyful illustrations from Guy Parker Rees and a foiled cover. ... wonderfully funny. - Independent A fantastically funny and wonderfully colourful romp of a picture book. All toddlers should grow up reading this or hearing their parents read it aloud to them. - Daily Telegraph A joyful read about an outsider who finds acceptance on his own terms.... there's also a simple moral about tolerance and daring to be different. - Junior","[{'type': 'ISBN_13', 'identifier': '9781408345375'}, {'type': 'ISBN_10', 'identifier': '1408345374'}]",True,True,33,Juvenile Fiction,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=OBgCCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=OBgCCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,295.0,INR,206.5,INR,https://play.google.com/store/books/details?id=OBgCCwAAQBAJ&rdid=book-OBgCCwAAQBAJ&rdot=1&source=gbs_api,2015,Hachette UK
U-EazgEACAAJ,dance,Chhau Dance,Traditional to Contemporary,Unknown Author,No Description,"[{'type': 'ISBN_10', 'identifier': '8182904374'}, {'type': 'ISBN_13', 'identifier': '9788182904378'}]",False,False,134,Uncategorized,en,Unknown,0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2021,Unknown Publisher
7iw1EAAAQBAJ,dance,Dancing Is the Best Medicine,"The Science of How Moving to a Beat Is Good for Body, Brain, and Soul","Julia F. Christensen, Dong-Seon Chang","“Lively and enlightening.”—Sarah L. Kaufman, Washington Post “[A] zippy guide to better health.”—Publisher’s Weekly STARRED Review Discover why humans were designed for dancing—and learn how to boogie for better health—with two neuroscientists as your guide. Dancing is one of the best things we can do for our health. In this groundbreaking and fun-to-read book, two neuroscientists (who are also competitive dancers) draw on their cutting-edge research to reveal why humans are hardwired for dance show how to achieve optimal health through dancing Taking readers on an in-depth exploration of movement and music, from early humans up until today, the authors show the proven benefits of dance for our heart, lungs, bones, nervous system, and brain. Readers will come away with a wide range of dances to try and a scientific understanding of how dance benefits almost every aspect of our lives. Dance prevents and manages illness and pain: such as Diabetes, arthritis, back pain, and Parkinson’s. Dance can be as effective as high intensity interval training: but without the strain on your joints and heart. Dance boosts immunity and lowers stress: it also helps reduce inflammation. Dance positively impacts the microbiome: and aids in digestion, weight loss, and digestive issues such as IBS. Dance bolsters the mind-body connection: helping us get in tune with our bodies for better overall health. We’re lucky that one of the best things we can do for our health is also one of the most fun. And the best part: dance is something anyone can do. Old or young, injured or experiencing chronic pain, dance is for everyone, everywhere. So, let’s dance! Types of dance featured in the book: Partner dance (salsa, swing dancing, waltz) Ballet Hip hop Modern Jazz Line dancing Tap dancing And more!","[{'type': 'ISBN_13', 'identifier': '9781771646352'}, {'type': 'ISBN_10', 'identifier': '1771646357'}]",True,False,241,Health & Fitness,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=7iw1EAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=7iw1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2021,Greystone Books Ltd
UAYzzAEACAAJ,dance,Dance with This Book,"Start a Revolution with Your Body, Alone in Your Room.",Jess Grippo,"Have you been feeling creatively stagnant or distanced from dance? Meet your new rectangular dance partner. A whisper from the creative muses. ""The Artist's Way"" in dance form. A calling to get back to dance and get back to YOU. Because starting to dance - again or for the first time - is often easier said than done. (Cue the intimidation, body image issues, time constraints, etc.) But dancing regularly is a proven source of happiness and healing, and for many it's a way to revive a lost part of our souls. This book is meant to be danced with, alone in your room to start, with a series of inspiring stories and directive prompts that you can do anytime. No more need for excuses or endlessly searching for the perfect class... make your bedroom your dance studio and DANCE WITH THIS BOOK. Side effects may include: making more space for yourself, reconnecting to your body, boosting your creative energy, releasing stress and stuck emotions, and feeling less alone. No leotards or expensive leggings required.","[{'type': 'ISBN_10', 'identifier': '1699051720'}, {'type': 'ISBN_13', 'identifier': '9781699051726'}]",False,False,107,Uncategorized,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=UAYzzAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=UAYzzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2019,Unknown Publisher
pGOHDgAAQBAJ,dance,The Midnight Dance,No Subtitle,Nikki Katz,"Set against the fascinating and moody backdrop of a mysterious boarding school, this intricately crafted novel is filled with magical realism, gothic settings, and the perfect hint of romance. Seventeen-year-old Penny is a lead dancer at the Grande Teatro, a finishing school where she and eleven other young women are training to become the finest ballerinas in Italy. Tucked deep in the woods, the school is overseen by the mysterious and handsome young Master, who keeps the girls ensconced in the estate – and in the only life Penny has ever known. But when flashes of memories – memories of a life very different from the one she thinks she’s been leading – start to appear, Penny begins to question the Grande Teatro and the motivations of Master. With a kind and attractive kitchen boy, Cricket, at her side, Penny vows to escape the confines of her school and the strict rules that dictate every step she takes. But at every turn, Master finds a way to stop her, and Penny must uncover the secrets of her past before it’s too late. Debut author Nikki Katz delivers a unique and haunting twist on a classic fairy tale with The Midnight Dance, chosen by readers like you for Macmillan's young adult imprint Swoon Reads. Praise for The Midnight Dance: ""Deliciously dark and twisty, taking you on a luscious ride.""—Suzanne Lazear, author of the Aether Chronicles series “Well-written and charming.” —Jennifer McKenzie, reader on SwoonReads.com “A beautifully written story.” —Chen Yan Chang, reader on SwoonReads.com","[{'type': 'ISBN_13', 'identifier': '9781250123725'}, {'type': 'ISBN_10', 'identifier': '1250123720'}]",True,False,286,Young Adult Fiction,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=pGOHDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=pGOHDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,818.92,INR,409.46,INR,https://play.google.com/store/books/details?id=pGOHDgAAQBAJ&rdid=book-pGOHDgAAQBAJ&rdot=1&source=gbs_api,2017,Macmillan + ORM
tRZmAQAAQBAJ,dance,A Time to Dance,No Subtitle,Padma Venkatraman,"Padma Venkatraman’s inspiring story of a young girl’s struggle to regain her passion and find a new peace is told lyrically through verse that captures the beauty and mystery of India and the ancient bharatanatyam dance form. This is a stunning novel about spiritual awakening, the power of art, and above all, the courage and resilience of the human spirit. Veda, a classical dance prodigy in India, lives and breathes dance—so when an accident leaves her a below-knee amputee, her dreams are shattered. For a girl who’s grown used to receiving applause for her dance prowess and flexibility, adjusting to a prosthetic leg is painful and humbling. But Veda refuses to let her disability rob her of her dreams, and she starts all over again, taking beginner classes with the youngest dancers. Then Veda meets Govinda, a young man who approaches dance as a spiritual pursuit. As their relationship deepens, Veda reconnects with the world around her, and begins to discover who she is and what dance truly means to her.","[{'type': 'ISBN_13', 'identifier': '9780698158269'}, {'type': 'ISBN_10', 'identifier': '0698158261'}]",True,False,322,Young Adult Fiction,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=tRZmAQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=tRZmAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",1,5.0,IN,FOR_SALE,True,644.81,INR,322.4,INR,https://play.google.com/store/books/details?id=tRZmAQAAQBAJ&rdid=book-tRZmAQAAQBAJ&rdot=1&source=gbs_api,2014,Penguin
